exit_reason,exit_day,return,stock_id,stock_name,buy_date
到期120天,120,0.1965684117905852,000050.SZ,深天马A,2014-11-04
止损-20%,5,-0.21320062860136205,000050.SZ,深天马A,2016-01-04
到期120天,120,0.0482531309293195,000050.SZ,深天马A,2019-04-29
到期120天,120,0.012614160968235515,000050.SZ,深天马A,2020-09-10
到期120天,120,0.03785714285714283,000050.SZ,深天马A,2025-01-03
到期120天,120,0.0570712136409226,000055.SZ,方大集团,2010-06-25
到期120天,120,-0.17704918032786882,000055.SZ,方大集团,2011-05-30
到期120天,120,-0.0392461197339246,000055.SZ,方大集团,2012-06-04
到期120天,120,0.20583756345177684,000055.SZ,方大集团,2012-11-14
止盈30%,60,0.25395010395010414,000055.SZ,方大集团,2015-01-12
到期120天,120,-0.053273427471116824,000055.SZ,方大集团,2016-08-01
止损-20%,50,-0.21211789864685093,000055.SZ,方大集团,2018-04-03
到期120天,120,0.03466386554621851,000055.SZ,方大集团,2022-09-28
到期120天,120,0.2004149511376162,000055.SZ,方大集团,2024-06-06
止盈30%,36,0.21992337164750975,000056.SZ,皇庭国际,2009-08-14
到期120天,120,0.0995131450827653,000056.SZ,皇庭国际,2010-04-20
止盈30%,84,0.25004995004995006,000056.SZ,皇庭国际,2010-10-15
到期120天,120,-0.01001326259946951,000056.SZ,皇庭国际,2012-04-23
止损-20%,67,-0.20208333333333328,000056.SZ,皇庭国际,2012-08-23
止盈30%,59,0.24456140350877204,000056.SZ,皇庭国际,2014-12-22
止损-20%,42,-0.5132743362831859,000056.SZ,皇庭国际,2016-05-09
止损-20%,72,-0.2441613588110403,000056.SZ,皇庭国际,2019-10-15
止损-20%,87,-0.23033707865168535,000056.SZ,皇庭国际,2020-09-01
止盈30%,17,0.24533333333333335,000056.SZ,皇庭国际,2021-09-17
止损-20%,3,-0.2696969696969696,000056.SZ,皇庭国际,2022-04-27
止损-20%,27,-0.21485411140583555,000056.SZ,皇庭国际,2023-12-21
止损-20%,112,-0.13612903225806455,000056.SZ,皇庭国际,2025-04-22
止盈30%,59,0.24675324675324684,000058.SZ,深赛格,2009-08-14
止盈30%,36,0.2465849387040281,000058.SZ,深赛格,2010-01-26
止损-20%,70,-0.22959183673469388,000058.SZ,深赛格,2010-11-16
到期120天,120,0.10071090047393358,000058.SZ,深赛格,2013-03-13
到期120天,120,-0.01775510204081642,000058.SZ,深赛格,2013-11-11
到期120天,120,0.09919978567601366,000058.SZ,深赛格,2016-05-06
止损-20%,70,-0.2054246244754949,000058.SZ,深赛格,2018-05-30
止损-20%,55,-0.2135493372606775,000058.SZ,深赛格,2019-04-18
到期120天,120,0.066610471937562,000058.SZ,深赛格,2019-10-30
到期120天,120,0.0871811700994238,000058.SZ,深赛格,2021-05-20
止损-20%,56,-0.11788194444444444,000058.SZ,深赛格,2022-01-27
止盈30%,54,0.2991624790619767,000058.SZ,深赛格,2022-09-14
止盈30%,24,0.26279069767441865,000058.SZ,深赛格,2023-10-19
止损-20%,54,-0.20082348679516057,000059.SZ,华锦股份,2012-04-12
止损-20%,52,-0.21826625386996912,000059.SZ,华锦股份,2013-03-28
到期120天,120,-0.024945295404814133,000059.SZ,华锦股份,2014-01-06
止盈30%,47,0.22970760233918108,000059.SZ,华锦股份,2015-02-09
