id,date,qfq,hfq,last_update
000027.SZ,20140523,0.302491,0.000000,2025-08-12 13:35:24
000027.SZ,20150625,0.745638,0.000000,2025-08-12 13:35:24
000027.SZ,20160628,0.654631,0.000000,2025-08-12 13:35:24
000027.SZ,20170629,0.683036,0.000000,2025-08-12 13:35:24
000027.SZ,20180622,0.642424,0.000000,2025-08-12 13:35:24
000027.SZ,20180816,0.644135,0.000000,2025-08-12 13:35:24
000027.SZ,20180828,0.652008,0.000000,2025-08-12 13:35:24
000027.SZ,20190614,0.680743,0.000000,2025-08-12 13:35:24
000027.SZ,20200102,0.688604,0.000000,2025-08-12 13:35:24
000027.SZ,20200611,0.808889,0.000000,2025-08-12 13:35:24
000027.SZ,20210107,0.856187,0.000000,2025-08-12 13:35:24
000027.SZ,20210618,0.937500,0.000000,2025-08-12 13:35:24
000027.SZ,20220617,0.931962,0.000000,2025-08-12 13:35:24
000027.SZ,20230601,0.937042,0.000000,2025-08-12 13:35:24
000027.SZ,20230615,0.954545,0.000000,2025-08-12 13:35:24
000027.SZ,20240618,0.978962,0.000000,2025-08-12 13:35:24
000027.SZ,20240625,0.978693,0.000000,2025-08-12 13:35:24
000027.SZ,20240626,0.978814,0.000000,2025-08-12 13:35:24
000027.SZ,20250613,1.000000,0.000000,2025-08-12 13:35:24
000028.SZ,20090610,0.504039,0.000000,2025-08-12 13:35:24
000028.SZ,20100617,0.613205,0.000000,2025-08-12 13:35:24
000028.SZ,20110616,0.584016,0.000000,2025-08-12 13:35:24
000028.SZ,20120619,0.599854,0.000000,2025-08-12 13:35:24
000028.SZ,20130607,0.620508,0.000000,2025-08-12 13:35:24
000028.SZ,20140528,0.658660,0.000000,2025-08-12 13:35:24
000028.SZ,20150522,0.717423,0.000000,2025-08-12 13:35:24
000028.SZ,20160530,0.705478,0.000000,2025-08-12 13:35:24
000028.SZ,20170620,0.721556,0.000000,2025-08-12 13:35:24
000028.SZ,20180613,0.702107,0.000000,2025-08-12 13:35:24
000028.SZ,20180816,0.692661,0.000000,2025-08-12 13:35:24
000028.SZ,20180828,0.695451,0.000000,2025-08-12 13:35:24
000028.SZ,20190619,0.689767,0.000000,2025-08-12 13:35:24
000028.SZ,20200102,0.699368,0.000000,2025-08-12 13:35:24
000028.SZ,20200618,0.710226,0.000000,2025-08-12 13:35:24
000028.SZ,20210107,0.705167,0.000000,2025-08-12 13:35:24
000028.SZ,20210621,0.712453,0.000000,2025-08-12 13:35:24
000028.SZ,20220617,0.712427,0.000000,2025-08-12 13:35:24
000028.SZ,20230601,0.975427,0.000000,2025-08-12 13:35:24
000028.SZ,20240625,0.988612,0.000000,2025-08-12 13:35:24
